"Отдел","Контрагент","Итого","cnt_first","cnt_second"
Трубка и РВД,ЭРА-СТРОЙ ООО,368383.47,0,1
Отдел труб и штоков,ШтормФарма АО,24986.02,0,1
Производство гидроцилиндров,ГОРИЗОНТ ООО,58420.00,0,1
Отдел уплотнений,ФИ-ИНЖ ООО,7557.22,1,1
Отдел уплотнений,КемеровоМед ООО,42749.74,3,1
Производство гидроцилиндров,ЛЕГИОН ООО,1638000.00,2,2
Отдел уплотнений,"ПСИ-СТРОЙ ООО, Ярославль",2352.00,1,0
Отдел уплотнений,МогилевЭкспорт АО (БЕЛАРУСЬ),5730.28,2,0
Отдел труб и штоков,"ОАО КПП ""АВИАМОТОР""",1017833.43,5,4
Отдел уплотнений,ОМИКРОНСИСТЕМС ООО,2533541.10,6,5
Отдел уплотнений,ЩукаПром ООО,670514.54,3,4
Отдел уплотнений,ПИ-ТОРГ ООО,9273.60,1,0
Отдел уплотнений,МстиславльИнвест АО (БЕЛАРУСЬ),1271488.57,4,2
Производство гидроцилиндров,ВОСХОД ООО,11866600.00,1,1
Трубка и РВД,МЮ-ЭНЕРГО ООО,44195.10,1,3
Производство гидроцилиндров,ЭКО-ДОМ ООО,3745800.00,1,1
Производство гидроцилиндров,ПИЛОТ ООО,2036160.00,1,0
Отдел труб и штоков,"ТАУ-ЭЛЕКТРО ООО, Тольятти",214002.65,3,2
Отдел уплотнений,ЛямбдаФинанс ОАО,1973985.04,4,0
Отдел уплотнений,МогилевМед ТОО (БЕЛАРУСЬ),200487.84,2,0
Отдел уплотнений,МарсЭнерго АО (РОССИЯ),32676.05,2,2
Отдел уплотнений,ЭТА-СТРОЙ ООО,635693.64,5,4
Производство гидроцилиндров,ПружаныТрейд ООО (БЕЛАРУСЬ),2279960.00,0,1
Трубка и РВД,ВЕКТОР-СТРОЙ ООО,68689.56,2,0
Отдел уплотнений,СветлогорскКом АО (РОССИЯ),238560.00,1,0
Отдел уплотнений,НептунМед ООО (УЗБЕКИСТАН),24364.80,0,2
Отдел уплотнений,"АКБ ""АЗИМУТ"" (ПАО)",95846.00,1,2
Отдел уплотнений,"ОАО ""ПОЛИФАРМ""",116998.46,2,1
Производство гидроцилиндров,ПАРУСНИК ООО,545560.00,3,1
Отдел уплотнений,ТК САТУРН ООО,2419.20,0,1
Производство гидроцилиндров,ОМИКРОН-ИНЖ ООО,27800.00,0,1
Производство гидроцилиндров,ДИАМАНТ ООО,16481272.00,1,3
Отдел уплотнений,МиорыТрейд ООО (АЗЕРБАЙДЖАН),59369.89,0,1
Отдел уплотнений,ОктябрьскийКом АО (БЕЛАРУСЬ),797990.37,4,0
Отдел уплотнений,БыховКонсалт ТОО (КАЗАХСТАН),4415.04,0,1
Производство гидроцилиндров,ЛюбаньТрейд АО (БЕЛАРУСЬ),15716790.00,6,3
Отдел уплотнений,ЮГ-СТРОЙ ООО,3600.00,0,1
Трубка и РВД,АЛМАЗ-СТРОЙ ООО,1748.48,1,0
Отдел уплотнений,ГлубокоеТрейд АО (БЕЛАРУСЬ),223586.67,2,3
Отдел уплотнений,ЭДЕЛЬВЕЙС ООО,5415801.62,5,4
Производство гидроцилиндров,МАСТЕР ООО,1204200.00,1,0
Трубка и РВД,ЭЛЕКТРИК ООО,6054.00,1,0
Отдел уплотнений,"РО-СТРОЙ ООО, Саратов",334364.00,4,4
Производство гидроцилиндров,КОНТАКТ ООО,800000.00,0,1
Отдел уплотнений,"ПИ-МАШ ООО, Краснодар",2369375.23,5,3
Производство гидроцилиндров,ОСТРОВ ООО,548000.40,0,1
Отдел труб и штоков,ПИТРАНС ООО,6160921.46,6,5
Трубка и РВД,АНЖЕЛИКА ООО,7305.28,1,0
Отдел труб и штоков,ЭПСИЛОНТРЕЙД ООО,310293.18,2,1
Отдел уплотнений,ПолоцкИнновации ООО (БЕЛАРУСЬ),514703.46,2,3
Трубка и РВД,ОМИКРОНСИСТЕМС ООО,1451988.98,2,3
Отдел труб и штоков,"ПИ-МАШ ООО, Краснодар",1057545.19,5,2
Отдел уплотнений,ТАУ-СТРОЙ ООО,117215.78,1,2
Отдел труб и штоков,ДрогичинКом ТОО (БЕЛАРУСЬ),895173.51,2,2
Отдел уплотнений,ПИ-ИНВЕСТ ООО,82416.77,4,5
Отдел уплотнений,СатурнФинанс ТОО (КИРГИЗИЯ),3768.00,1,0
Трубка и РВД,ФОРСАЖ ООО,60444.44,1,0
Производство гидроцилиндров,ВЕГА ООО,1758520.00,2,0
Отдел труб и штоков,АрктикаТех ТОО (КИРГИЗИЯ),2077664.08,6,3
Отдел труб и штоков,ПСИТРЕЙД ООО,648751.48,6,3
Отдел уплотнений,ГоркиИндустрия АО (МОЛДОВА),1507381.19,3,2
Отдел уплотнений,МОСКВА-СТРОЙ ООО,5241.60,1,0
Трубка и РВД,"АЛЬФА-50 ООО, Москва",4221.46,1,0
Отдел уплотнений,БЕТА-СТРОЙ ООО,42193.92,4,3
Производство гидроцилиндров,ЕВРАЗИЯ ООО,180000.00,1,0
Трубка и РВД,ТАУЭНЕРГО ООО,4445.89,3,0
Отдел уплотнений,СеверЭнерго АО (ГРУЗИЯ),86883.72,2,0
Отдел уплотнений,ОмскКонсалт АО,311084.48,5,2
Отдел уплотнений,ТАЙМ-СТРОЙ ООО,398882.06,6,4
Отдел труб и штоков,НептунМед ООО (УЗБЕКИСТАН),205152.12,1,1
Трубка и РВД,"ПИ-МАШ ООО, Краснодар",515227.87,2,2
Отдел уплотнений,ИмперияЛогистика ООО,117920.68,3,4
Отдел труб и штоков,ХотимскСтрой АО (БЕЛАРУСЬ),12277.65,1,1
Трубка и РВД,ТОРГОВЫЙ ДОМ ООО,21230.15,0,1
Отдел труб и штоков,"ООО ""Газпром добыча Астрахань""",462193.15,4,5
Отдел уплотнений,ОМЕГА-ТОРГ ООО,5208.67,1,0
Отдел уплотнений,АмурФинанс ТОО (АРМЕНИЯ),66058.97,3,2
Отдел уплотнений,НЮПРОД ООО,1530204.53,6,5
Отдел труб и штоков,"ООО ""ГП ТРАНС 48""",24208.94,1,1
Трубка и РВД,ЗЕТАИНВЕСТ ООО,190132.20,5,1
Отдел уплотнений,ОсиповичиПроект АО (БЕЛАРУСЬ),799154.09,6,4
Отдел уплотнений,ЭКО-СТРОЙ ООО,802384.10,0,1
Отдел уплотнений,УльяновскФинанс АО (МОЛДОВА),24437.40,1,0
Трубка и РВД,ПСИ-СТРОЙ ООО,94400.00,3,1
Отдел труб и штоков,НЮПРОМ ООО,2016188.62,6,5
Трубка и РВД,ВИКТОРИЯ-СТРОЙ ООО,609766.65,5,2
Отдел уплотнений,ЭПСИЛОН-СТРОЙ ООО,515226.06,2,4
Отдел уплотнений,ЛюбаньЭкспорт ТОО (БЕЛАРУСЬ),57516.17,1,0
Отдел уплотнений,ПСИ-СТРОЙ ООО,283066.80,3,2
Отдел уплотнений,ТК МЕРКУРИЙ ООО,1254.00,1,0
Трубка и РВД,ТЭТАТРАНС ООО,27365.30,1,1
Отдел уплотнений,БрагинИнновации ООО (БЕЛАРУСЬ),42942.60,1,2
Производство гидроцилиндров,БРИЗ ООО,385400.00,1,0
Отдел труб и штоков,МЮТОРГ ООО,1965107.31,5,5
Трубка и РВД,АМЕТИСТ-СТРОЙ ООО,12260.00,1,0
Отдел труб и штоков,ЩукаЭнерго ООО (УЗБЕКИСТАН),191850.69,3,1
Трубка и РВД,ХИ-КОМ ООО,13924.00,1,0
Отдел уплотнений,ФИ-КОМ ООО,1358.39,1,1
Производство гидроцилиндров,ГродноТех АО (БЕЛАРУСЬ),900000.00,0,1
Отдел уплотнений,ХИ-СТРОЙ ООО,1482.30,0,1
Отдел уплотнений,СенненскийИнвест АО (БЕЛАРУСЬ),154454.60,5,3
Отдел уплотнений,ЯНТАРЬ ООО,33898.80,1,0
Трубка и РВД,КУПЕЦ ООО,43262.96,2,0
Отдел уплотнений,ЗЕТАМАШ ООО,769596.45,5,5
Трубка и РВД,КСИ-ПРОД ООО,3188.00,1,0
Отдел уплотнений,БраславИндустрия ООО (БЕЛАРУСЬ),90022.43,2,0
Отдел уплотнений,БИО-КОМ ООО,852446.54,6,5
Отдел труб и штоков,ТуркестанТрейд ООО (КАЗАХСТАН),23692.99,1,0
Трубка и РВД,СТРОЙПРОЕКТ ООО,172286.40,3,1
Трубка и РВД,АВТОЗАПЧАСТЬ ООО,32182.70,0,2
Отдел уплотнений,Автоприбор (Владимир),53639.04,2,0
Отдел уплотнений,ОМЕГАЛОГИСТИК ООО,730658.77,5,4
Производство гидроцилиндров,ЗаряТрейд ТОО (ТУРКМЕНИСТАН),3412000.00,1,0
Трубка и РВД,СИГМАКОМ ООО,14382.00,1,0
Производство гидроцилиндров,КлимовичиСервис ООО (БЕЛОРУСЬ),9979432.00,2,1
Отдел уплотнений,"ЭТА-ИНВЕСТ ООО, Челябинск",6582.24,1,0
Отдел уплотнений,ХотимскСервис ООО (БЕЛАРУСЬ),236107.81,1,1
Трубка и РВД,ЭПСИЛОНКОМП ООО,348623.12,0,1
Отдел труб и штоков,АлматыИнвест АО (КАЗАХСТАН),6346.94,1,1
Отдел уплотнений,АЛЬФАПРОД ООО,3380477.05,6,5
Трубка и РВД,ЭЛИТА ООО,990874.00,1,1
Отдел уплотнений,"ОАО ""АВТОКРАН""",11390.40,0,1
Отдел труб и штоков,ДЕЛЬТАЛОГИСТИК ООО,2416627.46,6,5
Производство гидроцилиндров,КОМЕТА ООО,6790420.00,1,1
Отдел уплотнений,ТК ЗЕНИТ ООО,12012.00,0,1
Производство гидроцилиндров,ЛОТОС ООО,49920.00,0,1
Производство гидроцилиндров,КОНЦЕРТ ООО,3350000.00,1,0
Трубка и РВД,БУМАГА ООО,8122.00,0,1
Отдел уплотнений,"ООО ""МЕГАТОН""",323994.30,2,2
Отдел уплотнений,ЛАМБДА-ПЛЮС ООО,22379.73,1,2
Отдел уплотнений,ОдессаТех ООО,81442.14,1,3
Отдел уплотнений,ЛАМБДАЭНЕРГО ООО,926543.09,6,5
Отдел труб и штоков,ЭТАПРОДУКТ ООО,9661.07,0,1
Отдел уплотнений,ЧаусыИндустрия АО (МОЛДОВА),220513.62,4,1
Отдел уплотнений,ТЭТАСЕРВИС ООО,9365.40,0,1
Производство гидроцилиндров,ЗЕТА-ИНВЕСТ ООО,108480.00,0,1
Отдел уплотнений,КСИСТРОЙ ООО,513240.10,5,4
Отдел уплотнений,ТЕХНОЦЕНТР ООО,26973.48,2,1
Трубка и РВД,СТИЛЬ ООО,7963.00,0,1
Отдел уплотнений,КраснопольеМед ООО (БЕЛАРУСЬ),631414.67,5,4
Производство гидроцилиндров,ЭПСИЛОН-КОМ ООО,3740000.00,2,0
Отдел уплотнений,ХИ-ТОРГ ООО,492740.51,6,3
Отдел уплотнений,ДЕЛЬТА-ИНВЕСТ ООО,2630157.66,6,4
Производство гидроцилиндров,РЕГИОН-ЭЛЕКТРО ООО,1756370.00,2,1
Отдел уплотнений,ЙОТА-ПЛЮС ООО,53133.36,2,2
Отдел уплотнений,ЭПСИЛОН-ПРОД ООО,22077.36,0,1
Отдел уплотнений,"ООО ""АМА ПРОДАКШН""",45219.07,0,2
Отдел труб и штоков,ЖодиноЭкспорт ТОО (БЕЛАРУСЬ),118771.57,2,1
Отдел уплотнений,АГАТ ООО,868643.44,1,0
Отдел уплотнений,ЗЕТАИНВЕСТ ООО,2228156.72,6,5
Трубка и РВД,ТЕХНОЦЕНТР ООО,55804.30,1,0
Отдел уплотнений,ТуровИнновации АО (ГРУЗИЯ),21547.77,1,0
Отдел уплотнений,ТК ТИТАН ООО,1936.92,0,1
Трубка и РВД,БИЗНЕС-АВИА ООО,4402.65,0,1
Отдел уплотнений,"ПАО АК ""РУБИН"" ПАО ""АВИАЦИОННАЯ КОРПОРАЦИЯ ""РУБИН""",17291286.84,6,5
Отдел уплотнений,КурскФинанс ООО,720750.09,6,5
Производство гидроцилиндров,ОМИКРОН-КОМ ООО,154000.00,1,0
Отдел уплотнений,ЭТАТЕХ ООО,843886.95,5,5
Отдел уплотнений,КАППА-ЭНЕРГО ООО,217790.67,2,4
Отдел труб и штоков,ФИКОМП ООО,10502228.92,6,5
Отдел уплотнений,ЭТА-ИНВЕСТ ООО,43979.95,4,3
Трубка и РВД,ЭТАСЕРВИС ООО,27321.24,3,0
Отдел уплотнений,ХарьковСервис ООО,35817.06,0,1
Отдел уплотнений,ЖЕЛЕЗНОДОРОЖНЫЙ ООО,658.80,0,1
Отдел труб и штоков,БЕТАКОНСТРУКТ ООО,609675.58,6,5
Отдел уплотнений,ЭНЕРГОСБЫТ ООО,95098.50,1,0
Трубка и РВД,ПИКОНСТРУКТ ООО,321428.30,2,2
Отдел уплотнений,ЛиозноКом АО (БЕЛАРУСЬ),96963.24,2,2
Трубка и РВД,АВТОХИМ ООО,10855.76,1,1
Производство гидроцилиндров,КРОН ООО,4572360.00,1,0
Трубка и РВД,АГРОПРОМ ООО,49573.42,1,2
Отдел труб и штоков,РОСТЕХ ООО,717001.38,6,4
Отдел уплотнений,ОмегаТех АО (РОССИЯ),196868.58,5,3
Отдел уплотнений,НовосибирскФарма АО (РОССИЯ),26103.37,1,1
Производство гидроцилиндров,ЛАМБДА-ТОРГ ООО,12570000.00,0,1
Отдел уплотнений,КировскКонсалт ООО (АЗЕРБАЙДЖАН),443457.57,4,4
Трубка и РВД,БАЛ ООО,3391.20,1,0
Трубка и РВД,СИБИРЬ ООО,14421.92,1,0
Отдел уплотнений,ЛепельФарма АО (БЕЛАРУСЬ),437824.98,4,3
Трубка и РВД,ПСИТРАНС ООО,23066.70,3,0
Отдел уплотнений,ХаосЭнерго АО,6769.73,1,0
Производство гидроцилиндров,ГАММАЭНЕРГО ООО,213200.00,0,1
Отдел труб и штоков,ЛиозноСервис АО (БЕЛАРУСЬ),14815.51,0,1
Отдел труб и штоков,ОМИКРОНСИСТЕМС ООО,2116942.20,6,5
Производство гидроцилиндров,РО-ЭЛЕКТРО ООО,4623309.00,1,1
Трубка и РВД,АЛЬФА-СТРОЙ ООО,8765.55,1,0
Отдел уплотнений,ЖемчугМаш ООО (АЗЕРБАЙДЖАН),2486.40,2,0
Трубка и РВД,БЕТАКОНСТРУКТ ООО,7328.00,0,1
Производство гидроцилиндров,ПИКОНСТРУКТ ООО,1852670.00,1,3
Производство гидроцилиндров,МАКСИМУМ ООО,84500.00,1,1
Отдел уплотнений,ЭКОС ООО,3487.68,0,1
Отдел уплотнений,ДнепрКом АО (РОССИЯ),4938.19,0,1
Производство гидроцилиндров,РОТРЕЙД ООО,974320.00,1,0
Отдел труб и штоков,ИПСИЛОНКОМ ООО,4344053.90,6,5
Трубка и РВД,ВОССТАНИЕ ООО,44249.20,2,0
Отдел уплотнений,ДЕЛЬТАЛОГИСТИК ООО,1050066.85,6,5
Трубка и РВД,ГИДРО ООО,18276.00,0,1
Производство гидроцилиндров,АРИЭЛЬ ООО,1402000.00,2,0
Трубка и РВД,АЛЬТАИР ООО,3160.80,0,1
Отдел уплотнений,ХотимскМед ТОО (КИРГИЗИЯ),75618.48,1,1
Производство гидроцилиндров,ЕльскПроект ТОО (КИРГИЗИЯ),105000.00,0,1
Отдел уплотнений,ТАУСИСТЕМС ООО,752044.39,5,5
Отдел уплотнений,СлавгородСтрой АО (БЕЛАРУСЬ),5531.61,1,0
Отдел уплотнений,МстиславльФарма ООО (УЗБЕКИСТАН),857268.24,6,5
Производство гидроцилиндров,НОВАТОР ООО,100800.00,0,1
Отдел труб и штоков,ТАУЛОГИСТИК ООО,5304159.94,5,4
Производство гидроцилиндров,КОНСАЛТ ООО,135360.00,1,0
Трубка и РВД,ВЕТЕРАН ООО,4168.32,0,1
Отдел уплотнений,КарелияЭнерго ТОО (ТУРКМЕНИСТАН),73113.10,3,2
Отдел уплотнений,СигмаСтроительство ТОО,52290.92,0,1
Отдел уплотнений,ХойникиТрейд ООО (АЗЕРБАЙДЖАН),11280.00,1,0
Трубка и РВД,ЛИДЕР ООО,9770.50,1,0
Отдел уплотнений,УСПЕХ-КОМ ООО,87360.21,5,4
Производство гидроцилиндров,ЛИРА ООО,498000.00,1,0
Отдел труб и штоков,ПИПРОМ ООО,3851409.28,6,3
Производство гидроцилиндров,ВЕСТА ООО,312600.00,1,0
Производство гидроцилиндров,БЛАГОВЕСТ ООО,2681760.00,1,2
Отдел уплотнений,МогилевТрейд ООО (БЕЛАРУСЬ),168410.72,5,3
Отдел уплотнений,ЮПИТЕР-ТРЕЙД ООО,35640.00,1,0
Трубка и РВД,ХИКОНСТРУКТ ООО,37382.34,2,2
Отдел уплотнений,"ООО ""ЛИКСИР""",21168.00,1,0
Отдел уплотнений,ГОРИЗОНТ-ТОРГ ООО,8525.21,0,1
Производство гидроцилиндров,БИОНИК ООО,1244700.00,1,0
Производство гидроцилиндров,АНТАРЕС ООО,2128000.00,0,1
Трубка и РВД,ФЬЮЧЕРС ООО,160273.00,3,1
Отдел труб и штоков,ХИСЕРВИС ООО,625563.14,6,4
Трубка и РВД,ТРАКТ ООО,21901.16,2,2
Трубка и РВД,АЭЛИТА ООО,108016.10,0,2
Отдел уплотнений,АВИЛОН ООО,10745.11,1,0
Отдел уплотнений,ОМИКРОН-МАШ ООО,29120.64,1,1
Отдел уплотнений,ОМИКРОНФИНАНС ООО,624800.50,5,4
Трубка и РВД,АВТОТРАНС ООО,7340.77,1,0
Отдел уплотнений,СмоленскКонсалт ООО,6000.00,1,0
Производство гидроцилиндров,АЛМАЗ ООО,61500.00,0,1
Отдел уплотнений,ЮЖНЫЙ ООО,644388.58,5,0
Отдел уплотнений,ФИ-МАШ ООО,1454937.79,2,2
Трубка и РВД,АКВАРИУМ ООО,13454.64,1,0
Отдел уплотнений,ЭТА-ПЛЮС ООО,12274.74,0,1
Производство гидроцилиндров,АКВАМАРИН ООО,8000.00,1,0
Отдел уплотнений,БрагинЭкспорт ТОО (БЕЛАРУСЬ),25723.42,0,1
Отдел уплотнений,ГлускТех ООО (БЕЛАРУСЬ),84336.00,4,0
Отдел уплотнений,БЕТА-ЭНЕРГО ООО,535889.44,5,5
Отдел уплотнений,КАППА-КОМ ООО,718257.82,1,2
Производство гидроцилиндров,ЛАДА ООО,224880.00,0,1
Отдел уплотнений,КрымТех АО (РОССИЯ),4866.50,2,0
Отдел уплотнений,ЭКО-ДОМ ООО,281160.00,0,1
Отдел труб и штоков,ЭПСИЛОНПРОД ООО,3859979.72,6,5
Производство гидроцилиндров,ВЕРСИЯ ООО,252960.00,1,0
Отдел труб и штоков,КабардиноБалкарияСервис ООО,65416.46,1,1
Трубка и РВД,ЗЕТА-ТОРГ ООО,37799.10,0,1
Отдел уплотнений,СтолбцыЭнерго ООО (БЕЛАРУСЬ),1928.64,1,0
Трубка и РВД,САПФИР ООО,13751.00,0,2
Отдел уплотнений,ЧайкаКом ОАО,5664.79,1,0
Отдел уплотнений,ЛюбаньТрейд АО (БЕЛАРУСЬ),950943.74,5,5
Отдел труб и штоков,ХакасияФарма АО,148724.69,2,2
Трубка и РВД,АВТОСЕРВИС ООО,688.00,1,0
Отдел уплотнений,ДЕЛЬТА-ЭНЕРГО ООО,47402.40,1,0
Отдел уплотнений,АЛЬФА-33 ООО,1712305.92,0,2
Отдел труб и штоков,АЛЬФА-ТРАНС ООО,194038.08,3,2
Отдел уплотнений,РО-МАШ ООО,1538068.95,2,2
Отдел уплотнений,ТИМ ООО,384429.46,5,3
Трубка и РВД,АНКЕР ООО,11238.60,1,0
Отдел труб и штоков,ТауСервис ООО (АЗЕРБАЙДЖАН),2746.78,0,1
Отдел труб и штоков,НЮПРОД ООО,848693.40,5,5
Отдел труб и штоков,ТуровМед ТОО (БЕЛАРУСЬ),634430.04,5,2
Отдел уплотнений,ОПТИМА-КОМ ООО,167362.20,2,1
Отдел уплотнений,АЛЬФА-41 ООО,89369.82,1,2
Производство гидроцилиндров,АЛЕКС ООО,284000.00,1,0
Отдел труб и штоков,ЕльскЭкспорт ТОО (БЕЛАРУСЬ),16725.71,1,2
Производство гидроцилиндров,ГАРМОНИЯ ООО,135460.00,0,2
Отдел труб и штоков,ЭкваторТранс ТОО,87044.24,0,2
Отдел уплотнений,ЯмалФарма АО,42756.94,1,1
Трубка и РВД,ТРИУМФ ООО,41013.90,1,1
Трубка и РВД,ВИВА ООО,295880.40,1,1
Отдел уплотнений,УНИВЕСТ ООО,35606.77,0,2
Производство гидроцилиндров,"ПАО АК ""РУБИН"" ПАО ""АВИАЦИОННАЯ КОРПОРАЦИЯ ""РУБИН""",6040720.00,6,5
Отдел уплотнений,ОршаСервис АО (МОЛДОВА),265412.64,5,2
Производство гидроцилиндров,ДЕЛЬТАСЕРВИС ООО,1035000.00,0,1
Отдел уплотнений,ДЕЛЬТА-МАШ ООО,266613.64,6,5
Производство гидроцилиндров,ХойникиКонсалт АО (ГРУЗИЯ),407200.00,0,1
Отдел труб и штоков,"ОАО ""ОМСКОБЛСЕЛЬХОЗТЕХНИКА""",2654581.52,3,2
Отдел уплотнений,ЭТАФИНАНС ООО,4350544.63,6,5
Отдел уплотнений,МагаданЭкспорт АО,926376.15,4,3
Отдел уплотнений,ЛиозноТранс АО (ГРУЗИЯ),97299.99,5,3
Производство гидроцилиндров,ОРИГИНАЛ ООО,5010000.00,1,0
Отдел труб и штоков,КокшетауМед ООО (КАЗАХСТАН),700.72,1,0
Отдел уплотнений,МикашевичиИнвест АО (БЕЛАРУСЬ),211274.17,5,3
Трубка и РВД,СОЮЗ ООО,34919.00,0,2
Производство гидроцилиндров,ТК МЕРКУРИЙ ООО,2088000.00,0,1
Трубка и РВД,ЮНИТ-СТРОЙ ООО,24266.78,1,0
Отдел труб и штоков,ГлускМаш ТОО (ТУРКМЕНИСТАН),16492.56,0,2
Отдел уплотнений,КлимовичМаш ООО (ТАДЖИКИСТАН),118017.08,0,2
Производство гидроцилиндров,ЕнисейСтрой ООО,2080280.00,1,4
Отдел труб и штоков,БЕТАСТРОЙ ООО,446815.86,5,2
Отдел уплотнений,"ООО ""РОБОКОМ""",2856822.48,6,3
Отдел труб и штоков,СИГМАПЛЮС ООО,3855002.13,6,5
Производство гидроцилиндров,КАИР ООО,5297724.00,2,2
Отдел уплотнений,ТолочинЭнерго ТОО (ТУРКМЕНИСТАН),37447.92,1,0
Производство гидроцилиндров,ГАЛАНТ ООО,57900.00,1,0
Отдел уплотнений,УНИКОН ООО,94186.80,1,1
Отдел уплотнений,ЦЕНТР-КОМ ООО,7347.70,0,1
Отдел уплотнений,ЙОТА-КОМ ООО,780842.60,5,4
Отдел уплотнений,ТОРГСИБ ООО,15542.40,1,0
Отдел уплотнений,ГАММА-ТОРГ ООО,657816.36,4,0
Отдел уплотнений,МикашевичиПроект ООО (УЗБЕКИСТАН),62629.67,1,2
Отдел уплотнений,ТЭТАТРАНС ООО,1719783.65,6,3
Трубка и РВД,РУЧЕЙ ООО,3673.96,1,0
Трубка и РВД,НЮПРОМ ООО,5383.99,1,0
Отдел труб и штоков,ВоложинТрейд ООО (БЕЛАРУСЬ),14478906.35,5,4
Отдел уплотнений,ПолоцкТрейд АО (БЕЛАРУСЬ),156401.82,2,3
Отдел уплотнений,ОМЕГАПРОМ ООО,815672.41,6,4
Производство гидроцилиндров,ПРИМА ООО,340000.00,0,1
Трубка и РВД,ЭТА-ПЛЮС ООО,13437.00,1,0
Отдел уплотнений,"ОАО ""НАК ""АКИ-ОТЫР""",334098.90,5,1
Отдел уплотнений,БраславТех АО (РОССИЯ),1286.66,0,1
Трубка и РВД,ГОЛЬФСТРИМ ООО,262386.90,0,1
Отдел уплотнений,ТИТАН-М ООО,3682.56,1,0
Трубка и РВД,ШАНЭКО ООО,17486.00,0,1
Трубка и РВД,АДЕЛАИДА ООО,31656.76,2,1
Отдел уплотнений,ЗЕТА-ЭНЕРГО ООО,35322.26,3,1
Отдел труб и штоков,ЛАМБДАТРЕЙД ООО,2599498.92,6,5
Отдел уплотнений,КСИ-ТОРГ ООО,117423.59,1,2
Отдел уплотнений,ООО АВИКС ГРУПП,321042.44,5,4
Производство гидроцилиндров,ИМПЕРИЯ ООО,16000.00,0,1
Отдел уплотнений,ЯкутскЭнерго ТОО,154621.68,0,1
Трубка и РВД,ФОРТ ООО,683240.87,3,0
Отдел уплотнений,ТаразТранс ООО (АЗЕРБАЙДЖАН),27376.80,0,2
Отдел уплотнений,БобруйскФарма ТОО (КИРГИЗИЯ),257221.12,2,5
Трубка и РВД,РУБИН ООО,1132772.16,5,3
Отдел уплотнений,НЮ-ЭНЕРГО ООО,105788.96,5,3
Отдел уплотнений,"ГАММА-ЭНЕРГО ООО, Екатеринбург",4525.32,0,1
Производство гидроцилиндров,ГЕЛИОС ООО,37400.00,1,0
Производство гидроцилиндров,ЗЕТА-ЭЛЕКТРО ООО,1070000.00,1,1
Производство гидроцилиндров,ГАММА-ТОРГ ООО,1280000.00,1,0
Производство гидроцилиндров,АЛЬЯНС ООО,80000.00,1,0
Отдел уплотнений,КСИ-МАШ ООО,86400.00,0,1
Производство гидроцилиндров,НАВИГАТОР ООО,3351320.00,0,2
Отдел уплотнений,КлимовичСтрой ТОО (БЕЛАРУСЬ),3006.00,0,1
Отдел труб и штоков,СигмаСтроительство ТОО,106193.51,0,1
Производство гидроцилиндров,ФИСТРОЙ ООО,8144800.00,1,2
Отдел уплотнений,ЙотаФинанс АО (УКРАИНА),188907.15,3,1
Производство гидроцилиндров,ЛяховичиКом АО (РОССИЯ),2380794.00,2,1
Трубка и РВД,ВОЛНА ООО,2216.50,1,0
Трубка и РВД,СТРОЙМАСТЕР ООО,1620.00,0,1
Отдел труб и штоков,КСИТЕХ ООО,1841406.58,6,3
Трубка и РВД,ШТУРМ ООО,5918.40,1,0
Производство гидроцилиндров,"КБ ""АРСЕНАЛ"" ООО",579000.00,1,1
Производство гидроцилиндров,ДОЦЕНТ ООО,622280.00,0,2
Трубка и РВД,АФИНА ООО,25161.24,2,0
Отдел уплотнений,АЗИМУТ ООО,28728.00,1,0
Производство гидроцилиндров,ОМЕГА ПЛЮС ООО,440000.00,1,0
Отдел уплотнений,ЙОТАИНВЕСТ ООО,3465741.79,6,4
Отдел уплотнений,ГлубокоеЭкспорт АО (УКРАИНА),184844.66,4,2
Отдел труб и штоков,КобринЛогистика ООО (БЕЛОРУСЬ),2611.16,1,0
Отдел уплотнений,ЗАЩИТА-ТОРГ ООО,486957.79,1,1
Отдел уплотнений,ТК ФЕНИКС ООО,1487.66,1,0
Отдел уплотнений,ТЕХНО-ГРАД ООО,1271684.90,2,5
Отдел труб и штоков,РадугаПроект ООО (ТАДЖИКИСТАН),308110.42,3,4
Отдел уплотнений,"ОАО ""Авиакомпания ""БАЛ""",5133.15,0,1
Отдел труб и штоков,АктауСервис ТОО (АРМЕНИЯ),804797.71,4,3
Производство гидроцилиндров,МЕТРОПОЛЬ ООО,153600.00,1,0
Отдел уплотнений,ГанцевичиМед ТОО (БЕЛАРУСЬ),72713.45,1,5
Отдел уплотнений,ПИПРОМ ООО,2209087.07,6,3
Отдел уплотнений,УралЭкспорт ООО,430436.98,5,2
Отдел уплотнений,МЮ-СТРОЙ ООО,63562.81,3,0
Трубка и РВД,СТРОЙГАРАНТ ООО,705.00,0,1
Отдел труб и штоков,ЧайкаКом ОАО,1550028.67,6,5
Производство гидроцилиндров,ИПСИЛОНТОРГ ООО,422800.00,1,0
Отдел уплотнений,АЛЬФА-13 ООО,2187.36,0,1
Трубка и РВД,АРТЕЛЬ ООО,4161.30,0,1
Производство гидроцилиндров,ИНТЕГРА ООО,86520.00,0,1
Отдел уплотнений,ГЛОБУС-ТРАНС ООО,10245.32,0,1
Отдел труб и штоков,АстраханьЛогистика ТОО,8591.04,0,1
Отдел труб и штоков,ПСИТРАНС ООО,10277453.85,6,5
